frame,timestamp,j1,j2,j3,j4,j5,j6,gripper,action_j1,action_j2,action_j3,action_j4,action_j5,action_j6,action_gripper
0,0.000000,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0
1,0.033333,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0
2,0.066667,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0
3,0.100000,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0
4,0.133333,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.32850539684295654,0.026619544252753258,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.320062518119812,0.026619544252753258,0.0
5,0.166667,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,-0.01631014049053192,0.320062518119812,0.026619544252753258,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,0.05979803204536438,0.13454556465148926,0.04762211814522743,0.0
6,0.200000,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,0.05979803204536438,0.13454556465148926,0.04762211814522743,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,0.05979803204536438,0.10637351125478745,0.04514507204294205,0.0
7,0.233333,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,0.05979803204536438,0.10637351125478745,0.04514507204294205,0.0,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,0.0525587722659111,0.103599913418293,0.032358620315790176,0.0
8,0.266667,-0.016990456730127335,0.006454280111938715,-0.004012119956314564,0.0525587722659111,0.103599913418293,0.032358620315790176,0.0,-0.016990456730127335,0.006454280111938715,-0.011321156285703182,0.045720722526311874,0.10878078639507294,0.01467040367424488,0.0
9,0.300000,-0.016990456730127335,0.006454280111938715,-0.011321156285703182,0.045720722526311874,0.10878078639507294,0.01467040367424488,0.0,-0.016990456730127335,0.006454280111938715,-0.026776539161801338,0.04216214641928673,0.11574093997478485,0.0,0.0
10,0.333333,-0.016990456730127335,0.006454280111938715,-0.026776539161801338,0.04216214641928673,0.11574093997478485,0.0,0.0,-0.016990456730127335,0.005756520200520754,-0.05343097075819969,0.04071429744362831,0.11820054054260254,-0.009751196019351482,0.0
11,0.366667,-0.016990456730127335,0.005756520200520754,-0.05343097075819969,0.04071429744362831,0.11820054054260254,-0.009751196019351482,0.0,-0.016990456730127335,0.005756520200520754,-0.07757347077131271,0.04071429744362831,0.11950884759426117,-0.014164527878165245,0.0
12,0.400000,-0.016990456730127335,0.005756520200520754,-0.07757347077131271,0.04071429744362831,0.11950884759426117,-0.014164527878165245,0.0,-0.016990456730127335,0.005756520200520754,-0.11652591824531555,0.04071429744362831,0.12214288860559464,-0.017757991328835487,0.0
13,0.433333,-0.016990456730127335,0.005756520200520754,-0.11652591824531555,0.04071429744362831,0.12214288860559464,-0.017757991328835487,0.0,-0.016990456730127335,0.01796731911599636,-0.14766345918178558,0.04071429744362831,0.1280040740966797,-0.01892673969268799,0.0
14,0.466667,-0.016990456730127335,0.01796731911599636,-0.14766345918178558,0.04071429744362831,0.1280040740966797,-0.01892673969268799,0.0,-0.016990456730127335,0.038900118321180344,-0.1922852098941803,0.04071429744362831,0.1317196488380432,-0.02047925628721714,0.0
15,0.500000,-0.016990456730127335,0.038900118321180344,-0.1922852098941803,0.04071429744362831,0.1317196488380432,-0.02047925628721714,0.0,-0.016990456730127335,0.06705473363399506,-0.22961537539958954,0.04010375589132309,0.136534184217453,-0.02047925628721714,0.0
16,0.533333,-0.016990456730127335,0.06705473363399506,-0.22961537539958954,0.04010375589132309,0.136534184217453,-0.02047925628721714,0.0,-0.016990456730127335,0.10089609771966934,-0.2613634467124939,0.038167472928762436,0.14080797135829926,-0.02047925628721714,0.0
17,0.566667,-0.016990456730127335,0.10089609771966934,-0.2613634467124939,0.038167472928762436,0.14080797135829926,-0.02047925628721714,0.0,-0.016990456730127335,0.13955199718475342,-0.30574098229408264,0.038167472928762436,0.14154061675071716,-0.02047925628721714,0.0
18,0.600000,-0.016990456730127335,0.13955199718475342,-0.30574098229408264,0.038167472928762436,0.14154061675071716,-0.02047925628721714,0.0,-0.016990456730127335,0.19003494083881378,-0.3444841206073761,0.038167472928762436,0.14330245554447174,-0.02808484062552452,0.0
19,0.633333,-0.016990456730127335,0.19003494083881378,-0.3444841206073761,0.038167472928762436,0.14330245554447174,-0.02808484062552452,0.0,-0.016990456730127335,0.2290571630001068,-0.3828085660934448,0.038167472928762436,0.14330245554447174,-0.03556831553578377,0.0
