200,0.574,4.766
400,0.496,4.219
600,0.449,4.164
800,0.437,3.974
1K,0.428,3.779
1K,0.431,3.901
1K,0.415,4.113
2K,0.416,3.838
2K,0.421,3.827
2K,0.391,3.999
2K,0.408,4.871
2K,0.392,4.199
3K,0.391,3.955
3K,0.354,3.773
3K,0.363,3.726
3K,0.347,3.562
3K,0.344,3.854
4K,0.354,3.825
4K,0.382,3.854
4K,0.368,4.069
4K,0.351,3.892
4K,0.346,3.808
5K,0.363,4.379
5K,0.359,4.025
5K,0.364,4.043
5K,0.346,3.714
5K,0.366,3.999
6K,0.347,3.835
6K,0.350,3.744
6K,0.358,3.992
6K,0.347,3.871
6K,0.342,3.469
7K,0.342,4.269
7K,0.335,3.879
7K,0.343,3.570
7K,0.338,4.079
7K,0.332,4.082
8K,0.344,3.890
8K,0.327,3.690
8K,0.344,3.780
8K,0.322,3.872
8K,0.336,3.941
9K,0.343,3.540
9K,0.309,3.520
9K,0.324,3.478
9K,0.325,3.710
9K,0.334,3.595
10K,0.317,3.760
10K,0.327,3.784
10K,0.326,3.636
10K,0.334,3.710
10K,0.326,3.914
11K,0.338,3.553
11K,0.323,3.603
11K,0.313,3.651
11K,0.307,3.547
11K,0.316,3.902
12K,0.324,3.980
12K,0.330,3.605
12K,0.325,3.773
12K,0.306,3.527
12K,0.317,3.597
13K,0.314,3.594
13K,0.331,3.831
13K,0.320,3.906
13K,0.318,3.688
13K,0.317,3.597
14K,0.309,3.888
14K,0.313,3.625
14K,0.325,3.978
14K,0.317,3.815
14K,0.302,3.589
15K,0.299,3.725
15K,0.306,3.830
15K,0.304,3.476
15K,0.314,3.693
15K,0.305,3.678
16K,0.305,3.650
16K,0.325,3.943
16K,0.300,3.618
16K,0.315,3.763
16K,0.285,3.844
17K,0.325,3.754
17K,0.312,3.751
17K,0.291,3.928
17K,0.311,3.881
17K,0.305,3.609
18K,0.317,3.850
18K,0.303,3.536
18K,0.315,4.136
18K,0.317,3.513
18K,0.297,3.978
19K,0.306,3.680
19K,0.312,3.970
19K,0.298,3.836
19K,0.289,3.729
19K,0.306,3.688
20K,0.324,4.180
20K,0.299,3.817
20K,0.304,3.928
20K,0.292,4.151
20K,0.305,3.892
21K,0.301,4.017
21K,0.297,4.482
21K,0.316,3.834
21K,0.308,3.940
21K,0.317,3.748
22K,0.313,3.957
22K,0.305,3.870
22K,0.302,3.624
22K,0.281,3.580
22K,0.293,3.617
23K,0.312,4.329
23K,0.304,4.047
23K,0.300,3.960
23K,0.303,3.998
23K,0.312,4.038
24K,0.304,3.991
24K,0.316,3.644
24K,0.291,4.233
24K,0.305,4.093
24K,0.300,3.899
25K,0.302,4.420
25K,0.288,4.267
25K,0.307,4.216
25K,0.290,4.113
25K,0.306,4.281
26K,0.293,4.241
26K,0.308,4.112
26K,0.295,4.054
26K,0.279,4.224
26K,0.328,4.382
27K,0.291,4.113
27K,0.300,4.096
27K,0.290,4.012
27K,0.296,4.320
27K,0.288,5.207
28K,0.296,4.107
28K,0.285,4.139
28K,0.332,4.931
28K,0.298,5.077
28K,0.302,4.376
29K,0.283,5.007
29K,0.283,4.953
29K,0.289,4.063
29K,0.299,4.342
29K,0.291,4.974
30K,0.301,4.306
30K,0.307,4.384
30K,0.307,4.274
